Year,"Endocrine, nutritional, and 
metabolic diseases",Injuries,Mental disorders,Neoplasms,Circulatory system,Musculo-skeletal system and connective tissue,Nervous system and sense organs,Respiratory system,Other
1960,5406,,17287,17739,55855,17124,32105,16489,45800
1961,7070,,26864,23103,71860,23241,44709,20030,62881
1962,9383,,37315,27632,82015,33751,45261,23408,27669
1963,7563,6496,24526,25042,66468,21744,32712,19107,20571
1967,10743,19815,35344,33358,81507,41090,38278,24646,26166
1968,11359,25319,41894,36560,80906,43677,41758,22635,13645
1969,12169,28473,43225,35740,105760,47357,21967,23265,13953
1970,13141,28231,38406,36095,108906,52086,22575,24254,14333
1971,15823,31810,42687,39629,131854,66558,26442,30103,18102
1972,17352,31728,45253,43667,146684,75923,28216,33038,20917
1973,18131,30418,47014,50644,158202,85431,31139,34656,22908
1975,23176,32341,67213,59852,177311,110637,39960,39485,27919
1976,20966,29848,63667,57656,165182,105907,36156,35210,25002
1977,21725,31942,70825,59833,167801,107840,36751,35002,24667
1978,16855,27490,54329,54878,134634,86921,29314,28005,21627
1981,14768,20868,36318,56410,85994,58639,28516,21520,23100
1982,13187,16617,31531,50999,74242,48985,26886,19766,11574
1983,14904,15646,50633,52379,68352,41782,26203,17978,13567
1984,14418,16189,64078,59104,70891,45826,28201,18891,33918
1985,16976,16558,68610,55120,72764,49214,28733,20213,43718
1986,21260,3629,123983,53176,73226,54560,30328,23449,28565
1987,21114,20889,81241,55339,76758,63807,35206,22978,33053
1988,14513,21022,85756,53944,72224,68623,34443,23073,32540
1989,14279,21531,88500,60352,70235,71419,34756,21400,38803
1990,16255,22315,105173,65939,73585,74501,37737,22158,27780
1991,19931,24129,126184,69244,78339,92469,41551,23798,31969
1992,29904,25042,164093,77175,89818,96895,46952,27264,39622
1993,30862,23206,166045,80266,88623,94255,45742,27494,40752
1994,31532,22560,156703,89231,86645,84705,47820,30958,45027
1995,33370,27566,147900,64401,83065,141306,46477,28831,44014
1996,33832,27616,132022,63321,81209,142776,45960,27983,48024
1997,33807,25930,122901,62279,76531,135430,45496,26483,42862
1998,36373,25926,131502,63973,76698,141847,47517,27148,44042
1999,36975,25925,138980,65681,74755,146754,49869,26981,42251
2000,17100,28700,143200,63600,75400,153600,50100,26200,41400
2001,19500,25400,168600,62000,82500,162100,54600,28300,57100
2002,21830,28169,185313,70369,85252,186923,62519,30591,59417
2003,23407,28612,191679,70942,85896,199014,64369,32007,59780
2004,24341,29580,192832,73637,85449,210315,64566,32562,61962
2005,26969,31019,198549,83303,89247,226914,66712,33998,64496
2006,27272,31231,185035,82146,85636,225179,65320,32577,64279
2007,27354,31543,183475,81453,86706,233608,65187,32336,63125
2008,30023,34842,199738,84544,92136,263536,71431,34539,66437
2009,34168,38439,216381,90411,100007,303035,79756,37938,70561
2010,35545,39341,218862,92748,105046,333377,83735,40864,77470
2011,34167,36601,191898,91510,105728,337946,81698,41160,78271
